ligand,pK(vinaXB)
2oxy_ligand,4.59761
2oym_ligand,5.059208
2p2a_ligand,7.155066
2p3a_ligand,6.264157
2p3b_ligand,5.591202
2p3c_ligand,6.038453
2p3i_ligand,3.323446
2p4j_ligand,7.431657
2p4s_ligand,5.879978
2p4y_ligand,7.946848
2p7a_ligand,3.831342
2p7g_ligand,6.384736
2p7z_ligand,6.039355
2p15_ligand,10.081298
2p16_ligand,7.369597
2p95_ligand,7.135924
2pbw_ligand,5.989729
2pcp_ligand,6.434421
2pgz_ligand,5.789611
2pk5_ligand,8.5411
2pk6_ligand,7.903768
2pog_ligand,7.00415
2pq9_ligand,7.7064
2pqb_ligand,7.600968
2pqc_ligand,6.468189
2pql_ligand,5.248233
2pqz_ligand,7.275183
2psu_ligand,6.01794
2psv_ligand,5.759326
2pu2_ligand,5.152221
2pv1_ligand,4.09915
2pvh_ligand,6.413497
2pvj_ligand,7.019809
2pvk_ligand,7.319355
2pvl_ligand,6.759897
2pvm_ligand,6.403952
2pvu_ligand,4.47371
2pwc_ligand,7.207419
2pwd_ligand,3.140059
2pwg_ligand,3.756151
2pwr_ligand,8.277595
2py4_ligand,8.125132
2pym_ligand,7.332639
2pyn_ligand,7.668915
2pyy_ligand,3.990477
2q2a_ligand,5.307507
2q5k_ligand,7.616994
2q6f_ligand,3.483446
2q7q_ligand,4.25324
2q8h_ligand,1.27868
2q8m_ligand,5.342023
2q8z_ligand,6.205902
2q54_ligand,6.76077
2q55_ligand,7.451415
2q63_ligand,7.445337
2qbp_ligand,6.550726
2q64_ligand,7.563959
2qbq_ligand,5.876217
2qbs_ligand,5.972097
2qbr_ligand,5.473644
2qbu_ligand,6.629098
2qbw_ligand,6.853644
2qci_ligand,6.83816
2qd6_ligand,6.333497
2qd7_ligand,6.875425
2qd8_ligand,6.09585
2qe4_ligand,6.694164
2qg0_ligand,5.591422
2qg2_ligand,6.334098
2qhy_ligand,6.979289
2qhz_ligand,7.150587
2qi0_ligand,6.663072
2qi1_ligand,6.919663
2qi3_ligand,5.691474
2qi4_ligand,6.837581
2qi5_ligand,6.321151
2qi6_ligand,6.80577
2qi7_ligand,5.070264
2qm9_ligand,5.368512
2qmg_ligand,8.675667
2qnn_ligand,8.330609
2qnp_ligand,7.762801
2qnq_ligand,6.509919
2qpq_ligand,3.174457
2qpu_ligand,2.996818
2qrk_ligand,4.483944
2qrl_ligand,2.176026
2qta_ligand,6.359934
2qtn_ligand,4.110425
2qtg_ligand,5.417214
2qtt_ligand,5.842808
2qu6_ligand,8.049494
2qw1_ligand,1.984399
2qwb_ligand,4.404663
2qwd_ligand,3.885711
2qwc_ligand,4.016246
2qwe_ligand,5.165051
2r0h_ligand,3.798182
2qwf_ligand,5.724655
2r0z_ligand,4.144208
2r2m_ligand,6.69118
2r2w_ligand,5.451224
2r3t_ligand,8.09596
2r3w_ligand,7.860418
2r5a_ligand,2.223702
2r5p_ligand,8.077089
2r9w_ligand,5.63055
2r9x_ligand,5.039311
2r38_ligand,8.390403
2r43_ligand,7.525638
2r58_ligand,2.296518
2r75_ligand,7.26022
2ra0_ligand,6.87563
2rcb_ligand,3.08566
2rd6_ligand,6.161877
2reg_ligand,3.308416
2ri9_ligand,2.645872
2rin_ligand,0.500029
2rio_ligand,4.080154
2rk8_ligand,2.633592
2rka_ligand,2.591957
2rkd_ligand,2.22706
2rke_ligand,3.150235
2rkf_ligand,6.558189
2rkg_ligand,6.284743
2rkm_ligand,4.775103
2sim_ligand,4.923783
2std_ligand,6.695682
2tpi_ligand,4.665455
2uwd_ligand,6.344179
2uwl_ligand,5.054377
2uwo_ligand,5.554216
2uwp_ligand,5.079523
2uxi_ligand,3.496576
2uxz_ligand,7.707537
2uy0_ligand,8.289413
2uy3_ligand,4.684773
2uy4_ligand,3.700433
2uy5_ligand,4.393761
2uyn_ligand,3.011474
2uyq_ligand,4.335154
2v00_ligand,4.934135
2v2c_ligand,2.209633
2v2h_ligand,2.676334
2v2q_ligand,4.401994
2v2v_ligand,4.513893
2v3d_ligand,4.767397
2v3u_ligand,3.597984
2v7a_ligand,6.666261
2v8w_ligand,4.377397
2v54_ligand,6.291628
2v57_ligand,5.6314
2v58_ligand,6.268504
2v59_ligand,5.696327
2v95_ligand,7.866026
2vb8_ligand,4.56676
2vba_ligand,4.632779
2vc9_ligand,3.965374
2vfk_ligand,3.783292
2vh0_ligand,6.31261
2vh6_ligand,6.986122
2vhj_ligand,3.171804
2vjx_ligand,4.851752
2vk2_ligand,5.291107
2vk6_ligand,5.123776
2vkm_ligand,7.638592
2vl4_ligand,4.834304
2vmc_ligand,2.912082
2vmd_ligand,2.747911
2vmf_ligand,4.544934
2vnp_ligand,3.345938
2vnt_ligand,6.300337
2vo4_ligand,2.612295
2vo5_ligand,6.505176
2vot_ligand,5.207375
2vpn_ligand,5.415513
2vpo_ligand,5.33099
2vqt_ligand,5.134597
2vrj_ligand,3.532837
2vt3_ligand,4.508776
2vvc_ligand,7.396913
2vvn_ligand,5.528468
2vvs_ligand,6.358761
2vvu_ligand,7.588262
2vw1_ligand,5.285183
2vvv_ligand,7.871364
2vw2_ligand,4.362434
2vw5_ligand,7.20893
2vwc_ligand,6.545447
2vwl_ligand,7.493358
2vwm_ligand,7.436195
2vwn_ligand,7.487551
2vwo_ligand,7.830044
2vxn_ligand,3.15555
2vyt_ligand,1.971628
2vzr_ligand,3.372082
2w4x_ligand,4.293952
2w5g_ligand,3.351261
2w8j_ligand,5.317067
2w8y_ligand,7.749619
2w8w_ligand,4.393306
2w08_ligand,2.434626
2w9h_ligand,4.881994
2w26_ligand,6.157397
2w47_ligand,3.516503
2w66_ligand,4.73011
2w67_ligand,5.623776
2wb5_ligand,5.10728
2wc3_ligand,5.277661
2wbg_ligand,5.264179
2wc4_ligand,4.862185
2wca_ligand,4.485081
2we3_ligand,4.901606
2web_ligand,6.164751
2wed_ligand,6.529853
2wec_ligand,6.051855
2weq_ligand,5.827639
2wer_ligand,6.320095
2wf5_ligand,5.237251
2wgj_ligand,7.168013
2whp_ligand,3.350711
2wjg_ligand,5.315953
2wk6_ligand,2.697089
2wky_ligand,5.928732
2wkz_ligand,8.254135
2wl0_ligand,8.041334
2wly_ligand,4.559457
2wlz_ligand,5.007581
2wm0_ligand,6.053688
2wn9_ligand,5.148145
2wnc_ligand,5.548864
2wnj_ligand,5.590125
2wq5_ligand,5.142955
2wr8_ligand,7.199626
2wtv_ligand,7.685938
2wuf_ligand,4.850623
2wvt_ligand,3.671672
2wvz_ligand,4.83794
2wyf_ligand,3.362881
2wyg_ligand,6.177779
2wyj_ligand,6.210733
2wzf_ligand,6.30063
2wzm_ligand,6.058321
2wzs_ligand,4.119553
2x0y_ligand,4.826826
2x00_ligand,9.503944
2x2r_ligand,6.090088
2x4z_ligand,6.432427
2x6x_ligand,4.530491
2xab_ligand,6.939824
2xb7_ligand,6.373871
2xb8_ligand,7.092478
2xbp_ligand,7.689773
2xbv_ligand,8.054589
2xbw_ligand,8.801569
2xbx_ligand,8.56129
2xc0_ligand,8.110938
2xc4_ligand,8.328482
2xd9_ligand,7.48357
2xda_ligand,7.601569
2xde_ligand,5.603878
2xdk_ligand,4.03077
2xdl_ligand,4.599721
2xdx_ligand,4.434509
2xg9_ligand,4.751283
2xht_ligand,5.222962
2xib_ligand,4.373952
2xii_ligand,6.615652
2xj1_ligand,6.611657
2xj2_ligand,7.038812
2xj7_ligand,6.046144
2xjg_ligand,6.630198
2xjj_ligand,7.764377
2xjx_ligand,6.442801
2xm1_ligand,5.764157
2xm2_ligand,4.986364
2xmy_ligand,5.251891
2xn3_ligand,5.539648
2xn5_ligand,5.732705
2xnb_ligand,6.80805
2xog_ligand,5.015894
2xp7_ligand,5.159611
2xpk_ligand,6.177478
2xxr_ligand,4.384157
2xxt_ligand,5.256584
2xxx_ligand,4.22415
2xye_ligand,6.299641
2xyf_ligand,6.220499
2xys_ligand,7.542771
2xyt_ligand,5.535843
2y5f_ligand,6.621041
2y5g_ligand,6.392676
2y5h_ligand,5.609069
2y7x_ligand,7.8989
2y7z_ligand,7.520528
2y8c_ligand,5.278167
2y80_ligand,7.445176
2y81_ligand,7.558915
2y82_ligand,7.530191
2ya6_ligand,4.494743
2ya7_ligand,5.055381
2ya8_ligand,4.461466
2yay_ligand,7.018666
2yaz_ligand,7.088277
2yb0_ligand,6.205792
2ydt_ligand,5.090557
2ydw_ligand,6.364216
2yek_ligand,5.914282
2yel_ligand,6.850557
2yfa_ligand,3.284787
2yfe_ligand,5.484809
2yfx_ligand,5.604985
2yge_ligand,6.600733
2ygf_ligand,6.555682
2yi0_ligand,6.140308
2yi7_ligand,5.665161
2yix_ligand,7.883497
2yk1_ligand,5.108182
2yki_ligand,11.428006
2ylc_ligand,3.963944
2ymd_ligand,5.026965
2yme_ligand,5.361092
2ypi_ligand,1.76978
2ypo_ligand,4.889018
2yxj_ligand,7.176862
2z4o_ligand,6.275982
2za5_ligand,8.16335
2zb1_ligand,7.717221
2zc9_ligand,6.877434
2zcq_ligand,5.524135
2zcr_ligand,6.2725
2zcs_ligand,4.68368
2zda_ligand,6.936026
2zdk_ligand,6.29096
2zdl_ligand,5.573607
2zdm_ligand,5.655286
2zdn_ligand,5.582889
2zfp_ligand,5.156305
2zfs_ligand,6.281855
2zft_ligand,5.904428
2zgx_ligand,5.854032
2zjw_ligand,5.768636
2zkj_ligand,6.24272
2zmm_ligand,5.926877
2zn7_ligand,5.654905
2zq0_ligand,6.444523
2zq2_ligand,6.376136
2zwz_ligand,4.384553
2zx6_ligand,6.064245
2zx7_ligand,5.215594
2zx8_ligand,5.833908
2zxd_ligand,4.499311
2zy1_ligand,6.318211
2zym_ligand,6.213886
2zz1_ligand,6.838944
2zz2_ligand,6.464399
3a1c_ligand,5.390938
3a1d_ligand,5.291804
3a1e_ligand,5.262735
3a2o_ligand,7.133622
3a5y_ligand,6.47544
3a6t_ligand,6.102625
3aaq_ligand,4.738908
3aau_ligand,4.852478
3acw_ligand,7.507185
3acx_ligand,6.774648
3ag9_ligand,3.970594
3agl_ligand,5.952632
3ai8_ligand,-0.100073
3aid_ligand,6.032126
3alt_ligand,2.414084
3ap4_ligand,3.505205
3aqt_ligand,3.620718
3arp_ligand,6.200059
3arq_ligand,6.423109
3arw_ligand,6.548211
3arx_ligand,4.251738
3axz_ligand,5.889304
3b1m_ligand,7.695506
3b2q_ligand,3.505696
3b3x_ligand,1.62846
3b4p_ligand,6.087412
3b5r_ligand,7.497075
3b7j_ligand,3.030161
3b24_ligand,3.412251
3b25_ligand,5.641796
3b26_ligand,6.038021
3b27_ligand,4.92206
3b50_ligand,5.496503
3b65_ligand,7.815543
3b66_ligand,7.613497
3b67_ligand,7.981415
3b68_ligand,7.59239
3bbb_ligand,3.626891
3bbf_ligand,5.623761
3be9_ligand,8.989465
3bex_ligand,4.393372
3bfu_ligand,4.403783
3bgb_ligand,5.308021
3bgc_ligand,6.025828
3bgq_ligand,6.719641
3bgs_ligand,5.495836
3bgz_ligand,7.723614
3bqc_ligand,6.821246
3bra_ligand,2.449641
3brn_ligand,5.077669
3bu1_ligand,2.76824
3buf_ligand,2.588988
3bug_ligand,3.233255
3buh_ligand,3.629252
3bv9_ligand,6.040352
3bva_ligand,6.040308
3bvb_ligand,6.521048
3bwj_ligand,6.242463
3bxe_ligand,3.1914
3bxf_ligand,4.904413
3bxg_ligand,5.39415
3bxh_ligand,4.790301
3bzf_ligand,5.832493
3c2f_ligand,3.354479
3c2o_ligand,3.910066
3c2r_ligand,3.412735
3c2u_ligand,3.871063
3c4h_ligand,4.5675
3c39_ligand,3.538006
3c79_ligand,3.946334
3c84_ligand,4.947199
3cct_ligand,6.597632
3ccw_ligand,5.851672
3ccz_ligand,5.568754
3cd0_ligand,5.891327
3cd5_ligand,7.107808
3cd7_ligand,6.364509
3cda_ligand,6.014978
3cdb_ligand,5.772881
3cf8_ligand,4.102735
3cfn_ligand,5.803592
3cft_ligand,4.843644
3cj5_ligand,5.588079
3ckb_ligand,3.467859
3cke_ligand,4.076672
3ckp_ligand,6.17162
3ckz_ligand,5.602053
3cl0_ligand,4.643343
3cow_ligand,7.671173
3coy_ligand,7.502764
3coz_ligand,6.99967
3cs7_ligand,6.970374
3ctt_ligand,3.269076
3cyw_ligand,5.255491
3cyx_ligand,8.292287
3cyz_ligand,3.340367
3cz1_ligand,3.809047
3d0b_ligand,7.573754
3d0e_ligand,7.007654
3d1x_ligand,8.304194
3d1y_ligand,8.443424
3d1z_ligand,5.90393
3d2e_ligand,7.762375
3d6o_ligand,3.382581
3d6p_ligand,3.399054
3d7k_ligand,6.965352
3d7z_ligand,8.350726
3d8z_ligand,3.418915
3d78_ligand,3.743431
3d83_ligand,8.553966
3d91_ligand,6.824355
3da9_ligand,6.022419
3djk_ligand,6.563138
3djo_ligand,3.308864
3djp_ligand,3.311452
3djq_ligand,3.549289
3djv_ligand,3.970132
3djx_ligand,3.662933
3dk1_ligand,6.646356
3dnd_ligand,3.271173
3dne_ligand,5.667148
3dp9_ligand,6.506356
3drf_ligand,6.014604
3drg_ligand,7.968783
3dri_ligand,2.842991
3dsz_ligand,4.668988
3dyo_ligand,4.074348
3dzt_ligand,5.594897
3e3c_ligand,3.797874
3e5a_ligand,6.155022
3e5u_ligand,4.37684
3e6y_ligand,4.037625
3e92_ligand,9.229025
3e93_ligand,9.778453
3eax_ligand,2.707427
3eb1_ligand,2.952302
3ebl_ligand,8.340015
3ebo_ligand,6.218915
3ed0_ligand,4.477925
3ebp_ligand,6.587456
3eeb_ligand,5.903504
3eko_ligand,4.651782
3egt_ligand,4.222148
3ekp_ligand,5.406701
3ekr_ligand,5.93868
3ekt_ligand,5.580711
3ekv_ligand,6.508182
3ekw_ligand,7.224553
3ekx_ligand,7.634457
3el1_ligand,7.082507
3el4_ligand,8.18077
3el5_ligand,7.304245
3el9_ligand,7.295733
3eqr_ligand,7.35901
3ery_ligand,5.232155
3evd_ligand,3.741855
3exe_ligand,5.519208
3exh_ligand,5.586796
3f3c_ligand,5.48176
3f3d_ligand,3.845682
3f3e_ligand,4.498922
3f6e_ligand,7.838314
3f8c_ligand,7.299971
3f8f_ligand,6.261672
3f48_ligand,3.667595
3f68_ligand,6.394567
3f70_ligand,1.937324
3f78_ligand,3.839421
3f80_ligand,2.695345
3fas_ligand,4.61563
3fat_ligand,5.446342
3ffg_ligand,8.575293
3fhb_ligand,4.115462
3fj7_ligand,3.28478
3fjg_ligand,3.232507
3fl5_ligand,8.062324
3fqe_ligand,6.665572
3fql_ligand,7.752258
3fuc_ligand,5.535477
3fur_ligand,8.130139
3fuz_ligand,4.077881
3fv1_ligand,7.071708
3fv2_ligand,7.091613
3fv3_ligand,5.336151
3fvh_ligand,4.00599
3fvk_ligand,6.713321
3fvn_ligand,6.490147
3fzn_ligand,8.118446
3fzy_ligand,5.729802
3g0e_ligand,7.201408
3g0i_ligand,2.97011
3g0w_ligand,8.012361
3g1d_ligand,6.651188
3g1v_ligand,6.683306
3g2y_ligand,3.322214
3g2z_ligand,3.066386
3g3r_ligand,4.462016
3g19_ligand,2.979472
3g30_ligand,3.450352
3g31_ligand,2.260132
3g32_ligand,3.766738
3g34_ligand,2.633739
3g35_ligand,5.952815
3ga5_ligand,5.889208
3gba_ligand,7.308035
3gbb_ligand,6.078284
3gbe_ligand,3.334655
3gcp_ligand,7.614216
3gcs_ligand,7.994216
3gcu_ligand,9.707214
3gdt_ligand,2.843585
3ggu_ligand,5.554326
3gi4_ligand,6.490755
3gi5_ligand,6.413666
3gi6_ligand,6.251452
3gjw_ligand,3.750161
3gk1_ligand,2.632229
3gkz_ligand,5.368446
3gm0_ligand,5.628284
3gnw_ligand,8.674853
3gqz_ligand,3.01989
3gr2_ligand,3.326972
3gs6_ligand,3.615389
3gsm_ligand,3.00563
3gss_ligand,4.610447
3gst_ligand,6.363431
3gtc_ligand,2.456657
3gv9_ligand,3.05346
3gvb_ligand,5.533504
3gvu_ligand,9.624875
3gx0_ligand,4.193886
3gy2_ligand,4.792969
3gy3_ligand,5.049362
3gy4_ligand,4.243812
3gy7_ligand,3.736811
3h1x_ligand,2.54926
3h5b_ligand,5.134304
3h8b_ligand,5.413006
3h30_ligand,4.461569
3h78_ligand,4.892339
3h89_ligand,5.34651
3hb4_ligand,8.657551
3hcm_ligand,1.371694
3hek_ligand,7.064714
3hit_ligand,5.111694
3hk1_ligand,4.390579
3hkw_ligand,7.570176
3hky_ligand,7.308688
3hl7_ligand,6.708446
3hl8_ligand,4.700161
3hll_ligand,7.191606
3hmo_ligand,7.353013
3hmp_ligand,4.214487
3hp9_ligand,5.135447
3hu3_ligand,6.540257
3hub_ligand,8.193218
3huc_ligand,6.995337
3hv8_ligand,8.819626
3hvi_ligand,8.279787
3hvj_ligand,7.932258
3hww_ligand,1.712412
3i3b_ligand,3.511019
3i4b_ligand,7.168864
3i5z_ligand,7.539934
3i6o_ligand,8.489113
3i7e_ligand,5.991796
3i9g_ligand,4.305359
3i25_ligand,8.462845
3i60_ligand,7.269846
3i73_ligand,-1.105147
3iae_ligand,8.147023
3ies_ligand,8.54261
3ifl_ligand,4.643043
3ijh_ligand,3.942999
3ikd_ligand,4.650704
3ikg_ligand,5.113262
3imc_ligand,4.229824
3ime_ligand,2.560235
3iob_ligand,5.528189
3ioc_ligand,6.37533
3iod_ligand,4.079611
3ioe_ligand,5.814729
3ip5_ligand,2.686503
3ip6_ligand,3.765513
3ip8_ligand,3.795528
3ip9_ligand,1.850066
3iph_ligand,7.297339
3ipq_ligand,9.757405
3ipu_ligand,6.915073
3iqu_ligand,3.731151
3isj_ligand,5.406107
3iss_ligand,5.796811
3iub_ligand,6.352067
3iue_ligand,6.50882
3ivc_ligand,5.314054
3ivg_ligand,5.658702
3ivx_ligand,6.167845
3iw5_ligand,7.536672
3iw6_ligand,5.672111
3jdw_ligand,1.894311
3jrs_ligand,5.112991
3jrx_ligand,9.50261
3juk_ligand,6.36096
3juo_ligand,5.505506
3jup_ligand,5.445
3jvr_ligand,4.747581
3jvs_ligand,5.513438
3jy0_ligand,5.507896
3jya_ligand,5.660264
3jyr_ligand,6.808468
3jzh_ligand,2.797742
3jzj_ligand,7.355645
3k00_ligand,5.174245
3k1j_ligand,6.901078
3k02_ligand,6.734267
3k4d_ligand,2.754142
3k4q_ligand,3.939128
3k5v_ligand,6.205345
3k8c_ligand,3.935455
3k8o_ligand,4.437823
3k8q_ligand,4.428607
3k37_ligand,5.620374
3k97_ligand,6.16882
3k99_ligand,6.408343
3kdb_ligand,7.994465
3kdc_ligand,8.202515
3kdd_ligand,7.479743
3kdm_ligand,8.787229
3kgp_ligand,3.136679
3kgt_ligand,5.251239
3kgu_ligand,4.929135
3kiv_ligand,1.666855
3kjd_ligand,6.233497
3kku_ligand,3.701664
3kmx_ligand,4.130872
3kmy_ligand,4.029912
3kqr_ligand,2.234391
3kv2_ligand,4.156811
3kyq_ligand,2.520117
3l3l_ligand,6.3375
3l3m_ligand,7.240968
3l4u_ligand,3.547962
3l4v_ligand,3.840616
3l4w_ligand,4.098746
3l4x_ligand,3.609692
3l4y_ligand,3.783218
3l4z_ligand,3.90665
3l59_ligand,4.130095
3ldp_ligand,4.848123
3ldq_ligand,4.723585
3lgs_ligand,5.612405
3liw_ligand,6.389963
3ljo_ligand,5.250491
3lmk_ligand,3.580704
3lp4_ligand,2.906957
3lp7_ligand,4.017361
3lpi_ligand,7.888812
3lpk_ligand,9.210205
3lpl_ligand,3.520572
3lpp_ligand,4.115271
3lq2_ligand,6.060469
3lvw_ligand,3.974597
3lxk_ligand,6.135315
3lzs_ligand,6.238336
3lzu_ligand,5.417001
3lzz_ligand,2.612067
3m3c_ligand,3.561488
3m3z_ligand,4.056701
3m8u_ligand,6.331774
3m35_ligand,6.25011
3m36_ligand,8.64555
3m37_ligand,8.326048
3mam_ligand,1.723226
3mf5_ligand,6.561437
3mfv_ligand,3.652023
3mfw_ligand,3.222045
3mhw_ligand,2.733959
3miy_ligand,5.766151
3mjl_ligand,1.422625
3mof_ligand,2.244575
3ms9_ligand,3.941686
3mss_ligand,4.362654
3muz_ligand,3.870997
3mv0_ligand,3.489868
3mxd_ligand,6.534318
3mxe_ligand,7.003145
3myg_ligand,4.454714
3n1c_ligand,4.001532
3n3g_ligand,3.957522
3n7a_ligand,5.235499
3n7o_ligand,7.578856
3n8k_ligand,5.396342
3n35_ligand,3.394208
3n76_ligand,7.21335
3n86_ligand,8.010374
3nee_ligand,5.122903
3neo_ligand,5.496056
3nes_ligand,4.811085
3nex_ligand,5.577471
3ng4_ligand,3.236906
3nhi_ligand,6.053087
3nht_ligand,4.896276
3nkk_ligand,4.437251
3nox_ligand,4.642375
3npc_ligand,10.179853
3nq3_ligand,3.659487
3nq9_ligand,2.031444
3nsn_ligand,4.893079
3nu3_ligand,6.716679
3nu4_ligand,6.7036
3nu5_ligand,6.253057
3nu6_ligand,6.235777
3nu9_ligand,6.088673
3nuj_ligand,5.966437
3nuo_ligand,6.511188
3nw3_ligand,4.533094
3nyd_ligand,3.149824
3nyx_ligand,7.325044
3o4k_ligand,3.951158
3o5n_ligand,4.948262
3o5x_ligand,3.298519
3o8p_ligand,6.865183
3o9a_ligand,6.728145
3o9d_ligand,7.031151
3o9e_ligand,6.837405
3o9i_ligand,7.038497
3o75_ligand,4.286716
3o84_ligand,6.26618
3o99_ligand,6.822691
3oaf_ligand,5.440887
3ocp_ligand,5.905264
3ocz_ligand,4.648666
3oe4_ligand,6.882889
3oe5_ligand,6.652207
3ok9_ligand,5.377067
3old_ligand,6.347141
3ov1_ligand,4.978651
3ove_ligand,5.429949
3owj_ligand,6.870352
3own_ligand,9.044135
3oy8_ligand,3.032038
3oyw_ligand,3.289091
3ozg_ligand,5.191012
3ozj_ligand,4.542603
3ozp_ligand,5.403292
3ozr_ligand,4.795484
3ozs_ligand,6.823908
3ozt_ligand,7.194663
3p2e_ligand,6.158754
3p3r_ligand,5.209905
3p3s_ligand,4.804582
3p3t_ligand,4.565968
3p5o_ligand,6.321943
3p7i_ligand,2.81676
3p8n_ligand,6.785726
3p8o_ligand,6.224032
3p8p_ligand,3.518453
3p8z_ligand,6.822177
3p9l_ligand,5.839457
3p9m_ligand,6.24816
3p17_ligand,6.172654
3pd9_ligand,5.068343
3pe1_ligand,7.940059
3pe2_ligand,7.913673
3pfp_ligand,4.552258
3pgl_ligand,2.311994
3pju_ligand,10.269516
3pn1_ligand,5.145249
3po1_ligand,5.122038
3ppm_ligand,5.991092
3ppp_ligand,2.755147
3ppq_ligand,1.717984
3ppr_ligand,4.027009
3prs_ligand,6.336349
3pwd_ligand,5.689597
3pwk_ligand,2.529509
3pwm_ligand,6.15577
3pww_ligand,7.999802
3pyy_ligand,6.768123
3q1x_ligand,2.126327
3q2j_ligand,5.172617
3q6w_ligand,8.29412
3q6z_ligand,5.795594
3q7q_ligand,5.119692
3q71_ligand,6.756628
3qaa_ligand,5.171364
3qbc_ligand,4.133798
3qdd_ligand,5.867683
3qfd_ligand,5.781254
3qfy_ligand,3.781488
3qfz_ligand,3.623284
3qgw_ligand,4.991913
3qgy_ligand,4.218908
3qkd_ligand,7.562588
3qlm_ligand,2.635411
3qox_ligand,6.680257
3qps_ligand,5.322229
3qqa_ligand,4.990924
3qqs_ligand,5.534589
3qt6_ligand,5.793057
3qto_ligand,6.634611
3qtv_ligand,6.451239
3qwc_ligand,6.111195
3qx5_ligand,6.816408
3qx9_ligand,4.707889
3qxt_ligand,6.864795
3qxv_ligand,5.68055
3r1v_ligand,4.818717
3r4m_ligand,4.602808
3r4n_ligand,4.872119
3r4p_ligand,6.628218
3r5t_ligand,5.22368
3r6u_ligand,2.515733
3r7o_ligand,7.947705
3r88_ligand,3.807793
3rdo_ligand,5.036891
3rdq_ligand,5.034289
3re4_ligand,4.943006
3rlb_ligand,5.281158
3rlp_ligand,5.056048
3rlq_ligand,5.748043
3rlr_ligand,6.293028
3rm4_ligand,5.239978
3rm9_ligand,5.078724
3roc_ligand,6.515975
3rsx_ligand,5.056789
3ru1_ligand,4.225821
3rux_ligand,9.533783
3rv4_ligand,6.373673
3rv8_ligand,5.294919
3rwp_ligand,6.757771
3s0b_ligand,6.552918
3s0d_ligand,3.457031
3s0e_ligand,4.041635
3s2v_ligand,4.884304
3s5y_ligand,4.042067
3s6t_ligand,5.831195
3s8l_ligand,5.039421
3s8n_ligand,5.44978
3s8o_ligand,5.406166
3s9e_ligand,4.481459
3s43_ligand,6.250161
3s54_ligand,5.008988
3sfg_ligand,1.385938
3sha_ligand,5.95338
3shc_ligand,6.019736
3si3_ligand,5.952141
3si4_ligand,6.390433
3sio_ligand,6.34434
3sk2_ligand,5.689538
3slz_ligand,7.178109
3sm2_ligand,6.045337
3spf_ligand,3.726708
3sr4_ligand,6.358043
3st5_ligand,6.344142
3std_ligand,9.431276
3sur_ligand,4.553438
3sus_ligand,5.050154
3sut_ligand,5.386371
3suu_ligand,5.103966
3suv_ligand,4.53437
3suw_ligand,5.670081
3sv2_ligand,6.323475
3sww_ligand,4.76063
3sxf_ligand,7.344567
3t0b_ligand,4.198248
3t0d_ligand,3.400022
3t0x_ligand,9.379128
3t1a_ligand,9.471217
3t1m_ligand,4.619985
3t2q_ligand,3.190806
3t2w_ligand,4.790997
3t3c_ligand,6.788446
3t3u_ligand,7.242955
3t6b_ligand,5.496012
3t08_ligand,4.176239
3t09_ligand,3.211855
3t60_ligand,6.13805
3t64_ligand,6.191547
3t70_ligand,6.541107
3ta0_ligand,6.612683
3ta1_ligand,7.648512
3tao_ligand,2.950543
3tay_ligand,3.17901
3tb6_ligand,3.880403
3tcg_ligand,4.69096
3td4_ligand,3.454648
3tf6_ligand,3.154054
3tfn_ligand,5.689047
3tfp_ligand,4.487441
3tfu_ligand,5.577969
3th9_ligand,6.640264
3tif_ligand,6.425587
3tkw_ligand,5.898776
3tmk_ligand,8.506782
3ttm_ligand,3.235425
3ttp_ligand,6.147016
3tu7_ligand,7.319883
3twp_ligand,3.204091
3tz0_ligand,3.304758
3tza_ligand,5.413138
3tzm_ligand,8.293314
3u5j_ligand,6.394736
3u5l_ligand,6.808021
3u6h_ligand,8.525425
3u6i_ligand,8.646965
3u8j_ligand,4.337133
3u8k_ligand,4.789479
3u8l_ligand,5.072185
3u8n_ligand,4.96882
3u9q_ligand,3.19596
3u10_ligand,7.85739
3u81_ligand,6.370462
3ubd_ligand,6.56294
3ueu_ligand,3.43324
3uev_ligand,3.72195
3uew_ligand,3.471188
3uex_ligand,3.850652
3ug2_ligand,4.505792
3uil_ligand,1.613497
3uj9_ligand,3.899069
3ujc_ligand,3.690315
3ujd_ligand,3.843702
3umq_ligand,1.061848
3uo4_ligand,6.573035
3uod_ligand,6.672089
3up2_ligand,6.459971
3upk_ligand,6.254956
3upv_ligand,4.064208
3uri_ligand,5.236063
3usx_ligand,1.744435
3utu_ligand,7.274201
3uu1_ligand,4.301606
3uug_ligand,5.518497
3uxd_ligand,3.47945
3uxk_ligand,4.045865
3uxl_ligand,3.295938
3uyr_ligand,3.562867
3uz5_ligand,3.594677
3uzj_ligand,3.454355
3v2n_ligand,4.053739
3v2p_ligand,4.675374
3v2q_ligand,4.245609
3v3q_ligand,-0.71184
3v4t_ligand,6.311584
3v5p_ligand,6.430762
3v5t_ligand,5.913651
3v51_ligand,8.870594
3v78_ligand,8.714802
3vd4_ligand,4.175257
3vd9_ligand,4.144333
3vdb_ligand,2.614494
3veh_ligand,4.959824
3vf5_ligand,6.859743
3vf7_ligand,6.964208
3vfa_ligand,6.19665
3vfb_ligand,6.887977
3vha_ligand,7.680286
3vhc_ligand,8.197793
3vhd_ligand,7.82305
3vhk_ligand,6.455367
3vjc_ligand,7.558864
3vje_ligand,7.286972
